"","site","chill","photo","force","indiv","flask","species"
"1900","mp","HC","LP","LF","tml","9","spibet"
"1901","mp","HC","LP","LF","wjt","9","spipyr"
"1902","mp","LC","HP","HF","4","1","amealn"
"1903","mp","LC","HP","HF","7","1","menfer"
"1904","mp","LC","HP","HF","5","1","poptre"
"1905","mp","LC","HP","HF","9","1","symalb"
"1906","mp","LC","HP","HF","8","10","alnvir"
"1907","mp","LC","HP","HF","a","10","loninv"
"1908","mp","LC","HP","HF","10","10","menfer"
"1909","mp","LC","HP","HF","2","10","spipyr"
"1910","mp","LC","HP","HF","8","11","acegla"
"1911","mp","LC","HP","HF","10","11","alninc"
"1912","mp","LC","HP","HF","2","11","amealn"
"1913","mp","LC","HP","HF","wjt","11","vacmem"
"1914","mp","LC","HP","HF","f_eg","12","poptre"
"1915","mp","LC","HP","HF","b_sf","12","riblac"
"1916","mp","LC","HP","HF","14","12","sorsco"
"1917","mp","LC","HP","HF","2","12","spipyr"
"1918","mp","LC","HP","HF","10","13","alninc"
"1919","mp","LC","HP","HF","8","13","loninv"
"1920","mp","LC","HP","HF","2","13","popbal"
"1921","mp","LC","HP","HF","wjt","13","vacmem"
"1922","mp","LC","HP","HF","11","14","rhoalb"
